title,url
Show HN: X11 desktop widget that shows location of your network peers on a map,https://github.com/h2337/connmap
Agents built from alloys,https://xbow.com/blog/alloy-agents/
Staying cool without refrigerants: Next-generation Peltier cooling,https://news.samsung.com/global/interview-staying-cool-without-refrigerants-how-samsung-is-pioneering-next-generation-peltier-cooling
Claude Jailbroken to Mint Unlimited Stripe Coupons,https://www.generalanalysis.com/blog/imessage-stripe-exploit
XMLUI,https://blog.jonudell.net/2025/07/18/introducing-xmlui/
New colors without shooting lasers into your eyes,https://dynomight.net/colors/
"Log by time, not by count",https://johnscolaro.xyz/blog/log-by-time-not-by-count
Slow Motion Became Cinema's Dominant Special Effect,https://newrepublic.com/article/196262/slow-motion-became-cinema-dominant-special-effect-downtime
EU commissioner shocked by dangers of some goods sold by Shein and Temu,https://www.theguardian.com/business/2025/jul/20/eu-commissioner-shocked-dangerous-goods-sold-shein-temu
Simulating Hand-Drawn Motion with SVG Filters,https://camillovisini.com/coding/simulating-hand-drawn-motion-with-svg-filters
Stdio(3) change: FILE is now opaque (OpenBSD),https://undeadly.org/cgi?action=article;sid=20250717103345
Using the Matrix Cores of AMD RDNA 4 Architecture GPUs,https://gpuopen.com/learn/using_matrix_core_amd_rdna4/
The Genius Device That Rocked F1,https://www.youtube.com/watch?v=FhmLb2DhNYM
Coding with LLMs in the summer of 2025 – an update,https://antirez.com/news/154
SIOF (Scheme in One File) – A Minimal R7RS Scheme System,https://github.com/false-schemers/siof
Peep Show – The Most Realistic Portrayal of Evil Ever Made (2020),https://mattlakeman.org/2020/01/22/peep-show-the-most-realistic-portrayal-of-evil-ive-ever-seen/
What My Mother Didn't Talk About (2020),https://www.buzzfeednews.com/article/karolinawaclawiak/what-my-mother-didnt-talk-about-karolina-waclawiak
What birdsong and back ends can teach us about magic,https://digitalseams.com/blog/what-birdsong-and-backends-can-teach-us-about-magic
FFmpeg devs boast of another 100x leap thanks to handwritten assembly code,https://www.tomshardware.com/software/the-biggest-speedup-ive-seen-so-far-ffmpeg-devs-boast-of-another-100x-leap-thanks-to-handwritten-assembly-code
Speeding up my ZSH shell,https://scottspence.com/posts/speeding-up-my-zsh-shell
